FeatID,Average
1940,9.61
1748,9.61
270,9.5895
122,9.5478
553,9.5236
1606,9.499
257,9.4774
2038,9.4684
1642,9.4668
813,9.4656
2167,9.4471
1745,9.4268
832,9.4171
1417,9.4162
630,9.3992
1542,9.3957
123,9.3934
406,9.3592
994,9.3544
656,9.3527
1969,9.346
1806,9.3459
864,9.3418
1780,9.3397
1408,9.339
1147,9.3086
20,9.2966
276,9.2934
1132,9.2889
1573,9.2876
1926,9.2867
1735,9.2779
742,9.2506
1324,9.2347
923,9.2323
59,9.1987
1515,9.1979
1505,9.1791
96,9.1616
703,9.1545
926,9.1506
1321,9.1352
1253,9.1011
974,9.1011
1516,9.093
853,9.0915
1270,9.0831
743,9.0481
1209,9.0454
463,9.0393
967,9.028
1346,8.995
222,8.9863
1584,8.9795
1781,8.9774
1810,8.9692
950,8.9589
1129,8.956
2055,8.9462
274,8.9427
1705,8.9258
1343,8.9049
1475,8.8864
957,8.8807
863,8.8665
239,8.844
2063,8.8213
301,8.7966
1654,8.7921
50,8.7897
1429,8.7648
454,8.7284
645,8.7184
802,8.7156
313,8.703
2137,8.7001
2030,8.6848
1563,8.6778
1389,8.6667
1081,8.6471
595,8.6038
541,8.5991
330,8.5991
1556,8.5978
2060,8.5738
551,8.5712
1950,8.5688
1746,8.5686
1400,8.5659
894,8.5472
494,8.5392
796,8.5145
1007,8.5136
535,8.5131
432,8.4965
1788,8.4909
233,8.4893
670,8.4877
1409,8.4858
1489,8.4855
1994,8.4851
108,8.4844
1095,8.4825
980,8.4785
1751,8.4783
1951,8.4738
736,8.4705
1233,8.4689
249,8.4654
1401,8.463
400,8.4628
336,8.4627
497,8.4608
955,8.4559
1846,8.4514
456,8.4489
697,8.4487
218,8.4477
2174,8.4462
1514,8.4451
1275,8.4451
1583,8.4437
1789,8.4434
993,8.4411
1057,8.4392
1652,8.4376
1828,8.4346
1773,8.4335
1359,8.4318
962,8.4304
1140,8.4301
1881,8.4287
1375,8.4286
914,8.4273
904,8.4271
1666,8.4257
441,8.4233
1670,8.4175
429,8.4175
1712,8.4174
1064,8.4159
91,8.4143
1674,8.4142
1503,8.4131
1001,8.4122
1280,8.4109
1241,8.4076
1193,8.4017
650,8.3989
1527,8.3955
1008,8.3923
2032,8.3892
6,8.3863
891,8.3862
1047,8.3835
1607,8.3795
1287,8.3719
1892,8.3711
1484,8.3702
2150,8.3662
981,8.3589
1101,8.3582
2161,8.3505
631,8.3505
298,8.3429
1289,8.3409
1431,8.338
1659,8.3379
1029,8.3331
8,8.3331
1357,8.3325
1354,8.3314
620,8.3247
401,8.3209
935,8.3158
1557,8.3152
1164,8.3142
1386,8.3106
769,8.3104
1768,8.3072
246,8.3051
1683,8.3048
1903,8.3041
1877,8.3034
2011,8.3028
522,8.3012
1963,8.3001
299,8.2994
2064,8.2972
1829,8.2963
513,8.296
1463,8.294
1493,8.2908
478,8.2901
1139,8.2844
132,8.2811
1623,8.2804
462,8.2785
612,8.2755
2065,8.2752
779,8.2727
1458,8.2689
266,8.2686
1482,8.2608
1036,8.258
1433,8.2561
1002,8.2555
691,8.2508
1512,8.2489
965,8.2487
473,8.2433
448,8.2405
2113,8.2396
1706,8.2393
182,8.2392
2111,8.2372
1897,8.2372
1350,8.2359
2043,8.2304
1744,8.2288
1678,8.2253
444,8.2232
2152,8.219
1579,8.2184
851,8.2109
1883,8.2071
118,8.2063
677,8.204
1331,8.2039
57,8.203
2050,8.2024
1300,8.1948
824,8.193
87,8.1913
1034,8.1912
1509,8.1912
1838,8.1854
1685,8.1828
1224,8.1765
1602,8.1763
695,8.1709
1832,8.1694
1526,8.1676
721,8.1662
2166,8.1654
755,8.1643
977,8.1596
1680,8.1571
1373,8.1564
814,8.1538
296,8.1463
332,8.1461
1,8.1457
506,8.1451
948,8.1447
1960,8.1411
1792,8.1394
1793,8.1391
346,8.1326
699,8.1323
976,8.13
1808,8.1298
1760,8.1296
1645,8.1254
1075,8.1249
1281,8.1201
1731,8.1171
204,8.1142
601,8.1118
592,8.1113
624,8.1105
262,8.1102
502,8.105
667,8.0972
1246,8.0971
40,8.095
483,8.0869
1026,8.085
692,8.0814
1072,8.0734
1517,8.0734
1653,8.0718
395,8.0708
1250,8.0696
759,8.0624
2013,8.062
286,8.0618
161,8.0551
1636,8.0504
1403,8.0461
2162,8.0455
1791,8.0444
1627,8.0422
1676,8.0342
1481,8.0309
500,8.0299
284,8.0281
282,8.0271
821,8.0271
436,8.027
17,8.0245
2035,8.0162
1049,8.0121
1082,8.0034
1163,8.0022
2056,8.0017
2078,8.0017
984,7.999
1862,7.9987
1068,7.9931
1051,7.9922
995,7.9913
2141,7.9824
418,7.9823
1027,7.9803
1610,7.9799
1682,7.9785
643,7.9736
1910,7.9723
1385,7.9691
1370,7.9685
1511,7.9684
1605,7.968
1698,7.9677
1701,7.9675
1329,7.9665
1613,7.9595
1722,7.9554
1650,7.9553
1743,7.953
1037,7.9473
156,7.9465
319,7.9449
1032,7.9368
871,7.9366
