FeatID,Average
1417,9.5
1735,9.4839
1129,9.4671
1132,9.4661
463,9.4558
1998,9.4554
1606,9.4464
2063,9.4452
1401,9.4181
1139,9.4105
1193,9.367
1911,9.3408
1881,9.3294
1745,9.3266
1324,9.3013
1429,9.3005
1583,9.2864
2055,9.2771
1556,9.2628
1584,9.2538
1209,9.2519
1224,9.2328
1331,9.2324
1712,9.2185
1,9.2183
2167,9.2139
1147,9.2139
864,9.2138
122,9.1995
1458,9.1857
1829,9.17
1652,9.1673
1527,9.1589
1746,9.1381
1057,9.0974
1007,9.0738
1246,9.0523
743,9.0444
1542,9.0331
2060,9.0079
6,8.9815
1969,8.9501
535,8.9466
957,8.9435
1354,8.9434
1357,8.941
891,8.9364
1431,8.9295
1722,8.9084
366,8.9054
1773,8.8988
1642,8.8862
336,8.8701
1701,8.8327
863,8.8002
91,8.7879
2137,8.7824
1926,8.7618
670,8.7559
1892,8.7524
276,8.7516
1164,8.7417
832,8.7337
1295,8.7264
132,8.7154
429,8.7004
894,8.6965
1666,8.6946
1409,8.6923
1708,8.6747
1280,8.6641
1275,8.6631
1270,8.6525
1623,8.6127
1573,8.6092
8,8.6091
300,8.5733
796,8.5662
20,8.5601
967,8.553
274,8.5527
1481,8.5486
406,8.5468
950,8.5173
612,8.4907
266,8.4538
2050,8.4526
659,8.4217
301,8.4114
603,8.4096
802,8.4042
993,8.3952
1101,8.3774
400,8.3768
1994,8.3701
2011,8.3628
1670,8.3599
270,8.3539
1233,8.3539
1843,8.3501
1329,8.3489
1505,8.3489
1509,8.3473
1064,8.3445
697,8.3444
2018,8.3413
1950,8.3398
2078,8.3396
299,8.3365
695,8.3329
1706,8.3263
2032,8.3204
914,8.3198
1526,8.317
441,8.313
1359,8.3118
470,8.3078
502,8.3056
1287,8.3041
1213,8.3021
1676,8.2962
995,8.2935
1760,8.2901
1951,8.2877
1508,8.2814
81,8.2768
551,8.2697
792,8.2662
1645,8.2652
1120,8.2609
123,8.2588
1791,8.2561
1632,8.2494
1321,8.2433
1698,8.2417
1253,8.2415
1475,8.2408
483,8.238
1655,8.2378
284,8.235
1610,8.2342
703,8.2315
1788,8.2289
478,8.2283
759,8.2275
1518,8.2272
541,8.2245
1294,8.2239
994,8.2204
692,8.2169
494,8.2164
923,8.2142
1081,8.2117
1103,8.2059
2113,8.2049
59,8.2022
528,8.2009
1031,8.2003
1516,8.1999
401,8.1994
620,8.1961
204,8.1911
1463,8.1909
1140,8.1905
824,8.1853
1804,8.1833
721,8.1816
473,8.1816
904,8.1776
1751,8.1723
631,8.1707
1828,8.1677
1705,8.165
1296,8.1642
57,8.1629
282,8.1613
1037,8.1612
747,8.157
1195,8.1496
980,8.1493
1953,8.149
237,8.1487
87,8.1484
981,8.1482
1386,8.1445
201,8.1444
396,8.1435
1281,8.136
595,8.136
2162,8.1318
2121,8.1295
1928,8.1289
1678,8.1281
694,8.1278
298,8.1225
1685,8.1172
118,8.1154
780,8.1129
325,8.112
935,8.1089
630,8.1071
1095,8.1053
1563,8.1048
1036,8.1046
645,8.1029
497,8.1023
1659,8.1015
1653,8.1001
1223,8.0965
239,8.0927
1400,8.0924
1239,8.0889
924,8.0885
1104,8.0868
313,8.0842
814,8.0816
492,8.0801
408,8.0794
1808,8.0792
232,8.0768
1683,8.072
2038,8.069
178,8.0671
1603,8.067
1278,8.0652
2013,8.0623
1651,8.0572
222,8.0549
1385,8.0546
495,8.0509
1674,8.0465
17,8.0421
2065,8.0408
403,8.0371
1433,8.0363
955,8.0313
861,8.0308
608,8.0261
9,8.0261
1364,8.023
1650,8.0194
332,8.0125
1049,8.0124
1459,8.008
633,8.0038
1027,8.0036
844,7.9949
374,7.9949
65,7.9942
867,7.9862
601,7.984
1199,7.982
1273,7.9819
653,7.9807
650,7.9797
866,7.9765
2030,7.9735
1979,7.9731
1122,7.9706
448,7.9621
1425,7.9619
2173,7.9597
1034,7.959
69,7.9503
735,7.9499
76,7.9471
500,7.9469
991,7.9451
1163,7.9437
218,7.9426
1602,7.9424
1047,7.9382
1749,7.9364
506,7.9281
249,7.9235
1627,7.9198
1026,7.918
2088,7.9176
734,7.916
895,7.912
965,7.9104
1343,7.9038
1946,7.9029
1858,7.8984
691,7.889
449,7.8851
149,7.879
1250,7.8777
66,7.8686
1008,7.862
604,7.8553
634,7.8535
242,7.8518
1044,7.8469
2141,7.8466
564,7.8452
1108,7.8399
1787,7.8389
96,7.8387
2111,7.8386
436,7.8341
1477,7.8271
794,7.8184
1489,7.8093
2161,7.8072
553,7.8058
462,7.7995
1591,7.7984
538,7.7983
1291,7.7969
167,7.7938
1075,7.7938
962,7.7889
1529,7.7849
2064,7.7837
1931,7.7763
246,7.7723
2116,7.7722
562,7.7661
10,7.7645
641,7.7628
1621,7.76
199,7.7538
1128,7.7519
1781,7.7503
113,7.7484
829,7.7475
1484,7.7447
1174,7.7431
1885,7.741
1206,7.7378
1883,7.7339
1035,7.7334
395,7.7309
1792,7.729
522,7.7213
803,7.7193
1561,7.719
2152,7.719
297,7.7181
1348,7.7136
206,7.7117
335,7.7113
1503,7.7081
827,7.7048
1644,7.7003
1029,7.7
529,7.6987
658,7.693
1515,7.6908
1086,7.6857
1121,7.6813
1024,7.6806
334,7.6791
1637,7.6789
667,7.6789
1833,7.6769
1922,7.6756
1921,7.6754
643,7.6714
364,7.666
182,7.6649
696,7.6642
903,7.6635
1634,7.656
833,7.6531
294,7.6438
432,7.6412
2174,7.6353
1071,7.6275
624,7.6257
699,7.6246
1814,7.6225
2106,7.6205
813,7.6198
1757,7.6198
2104,7.6183
1002,7.6103
1759,7.6051
418,7.6036
105,7.6016
1152,7.5992
1300,7.5979
346,7.5978
1493,7.595
347,7.5919
563,7.5896
1420,7.5874
1138,7.5868
319,7.5852
971,7.5835
596,7.5829
1032,7.5813
1780,7.5791
2117,7.5763
2093,7.5761
399,7.5752
976,7.5741
693,7.5725
1326,7.5715
1434,7.5683
1727,7.5683
1474,7.5678
636,7.5628
1119,7.5591
1241,7.5502
791,7.5489
115,7.5455
257,7.5399
14,7.5371
1680,7.5332
499,7.5259
1254,7.525
768,7.5249
730,7.5203
1966,7.5189
1636,7.5122
1687,7.5084
1451,7.5083
1742,7.5074
892,7.5074
103,7.5058
1384,7.5007
390,7.4958
588,7.4922
729,7.4921
1520,7.4907
1913,7.4884
43,7.4863
1558,7.4855
2028,7.4842
1198,7.4768
439,7.4752
468,7.473
112,7.4727
1594,7.4701
211,7.4674
1427,7.4666
668,7.4665
1970,7.4652
16,7.4651
1899,7.4598
1940,7.459
233,7.4568
542,7.4513
2048,7.448
1290,7.446
33,7.4455
1832,7.4408
447,7.4343
1038,7.4324
1517,7.428
1945,7.4271
170,7.4259
2043,7.4257
762,7.4217
445,7.4216
1737,7.421
1613,7.4166
2029,7.4119
1895,7.4108
1851,7.4053
815,7.4019
1658,7.401
345,7.3999
1033,7.3992
2035,7.3962
1897,7.3941
1731,7.391
444,7.3907
1403,7.3869
576,7.3829
2130,7.3823
1430,7.3804
36,7.3798
40,7.3741
108,7.3737
363,7.3673
1838,7.3666
1682,7.3663
1782,7.3655
1912,7.365
1649,7.3626
1271,7.3621
318,7.3608
1669,7.3587
773,7.3533
1485,7.35
353,7.3467
669,7.3441
1025,7.3396
205,7.3387
450,7.3374
1764,7.335
467,7.3313
1824,7.3293
1688,7.3288
878,7.3256
1337,7.3237
1849,7.3215
926,7.321
1076,7.3165
681,7.3128
845,7.3102
1464,7.3083
424,7.3083
771,7.3075
816,7.3006
212,7.2998
647,7.2946
1663,7.2918
2151,7.2906
1479,7.2906
1495,7.2886
1744,7.284
610,7.2794
1387,7.2739
1900,7.2688
2159,7.2684
548,7.2666
777,7.2643
616,7.2601
1879,7.2525
1984,7.2507
626,7.2504
840,7.2456
1793,7.2383
2000,7.2369
1350,7.2341
1770,7.2334
1530,7.2326
1308,7.232
1369,7.2318
826,7.2304
1188,7.2225
839,7.2152
1547,7.2139
1618,7.207
365,7.2063
39,7.2008
235,7.1999
1763,7.1942
853,7.1942
1412,7.1872
1995,7.1838
38,7.183
821,7.1824
1370,7.1815
310,7.1813
931,7.18
114,7.1757
1346,7.1753
1419,7.1701
560,7.1655
1015,7.1648
1842,7.1629
851,7.1622
1990,7.1605
766,7.1586
464,7.1578
1289,7.1516
1886,7.1516
2134,7.146
927,7.1433
1334,7.1388
99,7.1373
50,7.1349
1107,7.131
536,7.1275
1486,7.1269
1373,7.1262
34,7.1218
1424,7.1213
1831,7.1184
519,7.1184
1441,7.1142
42,7.1136
725,7.1134
343,7.1092
1993,7.1081
547,7.1077
109,7.1054
830,7.1054
1268,7.1037
179,7.0956
660,7.0937
437,7.0934
37,7.0858
404,7.0849
1910,7.0811
498,7.0808
569,7.0808
987,7.0799
1810,7.0772
793,7.0765
2160,7.0685
629,7.0682
254,7.0634
465,7.0624
871,7.0619
1776,7.0582
433,7.0582
367,7.056
758,7.0491
1908,7.0429
236,7.0424
1572,7.0414
262,7.0407
227,7.0396
897,7.0346
305,7.0339
1109,7.0294
1880,7.021
53,7.0143
2072,7.0104
712,7.0094
765,7.0084
1210,7.0073
172,7.0063
933,7.0041
860,6.9973
1028,6.9972
805,6.9951
1809,6.9948
1313,6.9921
1318,6.9881
176,6.9837
1853,6.9803
719,6.9768
1854,6.973
191,6.9724
1794,6.9721
738,6.9628
870,6.9617
1819,6.9604
443,6.9584
1704,6.9582
1596,6.9519
607,6.9516
220,6.95
1194,6.9488
661,6.9485
186,6.945
797,6.9419
1588,6.9362
664,6.9358
977,6.9356
1134,6.9287
1130,6.9269
1817,6.9201
476,6.9158
125,6.9148
1578,6.9121
162,6.9077
315,6.9021
1796,6.8971
1857,6.8963
161,6.8963
192,6.8961
545,6.8949
857,6.8939
1382,6.8914
1748,6.883
1729,6.8817
1230,6.8799
869,6.8776
1452,6.8772
537,6.8761
1963,6.8757
1092,6.8706
888,6.8669
1532,6.8626
1878,6.8571
2039,6.8566
1453,6.8543
614,6.8542
1502,6.8526
2007,6.8434
779,6.8432
1605,6.843
209,6.8428
1465,6.8408
2,6.8373
998,6.8371
19,6.8369
566,6.8346
153,6.8326
736,6.8284
296,6.8282
1074,6.8226
143,6.8218
1328,6.8165
1689,6.8127
1569,6.8066
1214,6.8058
1830,6.8056
628,6.8019
1184,6.7995
731,6.7951
1383,6.7871
1675,6.7829
1421,6.7782
1905,6.7769
379,6.7706
960,6.7696
929,6.7672
357,6.7612
1375,6.7604
1607,6.7589
1730,6.7551
544,6.7539
1423,6.7507
185,6.7499
410,6.7474
2024,6.7464
1360,6.745
677,6.7432
992,6.7415
1061,6.7413
1320,6.7337
309,6.7337
1724,6.7334
609,6.7279
291,6.7199
1292,6.7146
1393,6.7112
1046,6.7106
812,6.706
231,6.7048
1587,6.7009
144,6.6972
306,6.6967
438,6.6886
139,6.6883
340,6.686
1862,6.6831
1974,6.6823
2061,6.6812
749,6.6756
1707,6.674
1996,6.6723
131,6.6661
45,6.6612
2044,6.6594
943,6.6582
320,6.6577
311,6.6574
1133,6.6559
665,6.6556
54,6.6554
2119,6.6538
1161,6.6477
165,6.6453
1336,6.6437
952,6.6404
354,6.6393
1170,6.6385
540,6.6301
1342,6.6284
1719,6.6274
107,6.627
2008,6.6246
63,6.616
1051,6.6157
11,6.6144
1988,6.6104
1761,6.6057
516,6.5976
937,6.597
1576,6.5969
2165,6.5955
909,6.5948
141,6.5941
368,6.5933
1820,6.5925
956,6.5923
1185,6.591
584,6.5879
217,6.5839
524,6.5839
1679,6.5754
1668,6.5729
900,6.5683
1089,6.5652
2003,6.5643
1893,6.5627
342,6.5581
800,6.5556
662,6.5516
1557,6.5499
2049,6.5414
44,6.5377
1856,6.534
1284,6.5276
704,6.5258
213,6.5246
1736,6.5175
755,6.5145
739,6.5117
605,6.5072
1077,6.5064
1472,6.5005
2101,6.5001
592,6.4967
1073,6.4927
1146,6.4907
1345,6.487
314,6.4869
124,6.4847
2170,6.4847
